#,Titel,Artiest,Jaar
135,Nah Neh Nah,Vaya Con Dios,1990
136,Waterfalls,TLC,1995
137,Celebration,Kool & The Gang,1980
138,Smoorverliefd,Snelle,2020
139,(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes",1987
140,Africa,TOTO,1982
141,Torn,Natalie Imbruglia,1997
142,My Heart Will Go On,Céline Dion,1997
143,Return of the Mack,Mark Morrison,1996
144,Kijk Eens In De Poppetjes Van Mijn Ogen,"Karel Van De Velden, Annie De Reuver, The Skymasters",1956
145,Save Tonight,Eagle-Eye Cherry,1997
146,The Locomotion,Little Eva,1962
147,Johnny B. Goode,Chuck Berry,1958
148,Toosie Slide,Drake,2020
149,Anyone,Justin Bieber,2021
150,Somebody That I Used to Know,"Gotye, Kimbra",2011
151,Counting Stars,OneRepublic,2013
152,Praise You,Fatboy Slim,1998
153,If You Had My Love,Jennifer Lopez,1999
154,I Can Help,Billy Swan,1974
155,Het Dorp,Wim Sonneveld,1959
156,Someone You Loved,Lewis Capaldi,2018
157,I Wanna be a Hippy,Technohead,1995
158,I Knew You Were Waiting (For Me),"George Michael, Aretha Franklin",1987
159,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,1970
160,I Heard It Through The Grapevine,Marvin Gaye,1968
161,Life On Mars',David Bowie,1971
162,If You Leave Me Now,Chicago,1976
163,Dancing In the Dark,Bruce Springsteen,1984
164,Start Me Up,The Rolling Stones,1981
165,Walk Of Life,Dire Straits,1985
166,Wooly Bully,Sam The Sham & The Pharaohs,1965
167,Do You Know? (The Ping Pong Song),Enrique Iglesias,2007
168,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987
169,What Is Love,Haddaway,1993
170,Waka Waka (This Time for Africa) (feat. Freshlyground),"Shakira, Freshlyground",2010
171,"Relax, Take It Easy",MIKA,2007
172,Everywhere,Fleetwood Mac,1987
173,I Love Rock N Roll,The Arrows,1975
174,4 Minutes (feat. Justin Timberlake & Timbaland),"Madonna, Justin Timberlake, Timbaland",2008
175,Crazy Horses,The Osmonds,1972
176,Lola,The Kinks,1970
177,Als Het Avond Is,Suzan & Freek,2019
178,Ademnood,Linda Roos & Jessica,2001
179,Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",2004
180,Slow Down,Douwe Bob,2016
181,The Lazy Song,Bruno Mars,2011
182,Gangsta's Paradise,"Coolio, L.V.",1995
183,Because of You,Kelly Clarkson,2004
184,Moves Like Jagger,"Maroon 5, Christina Aguilera",2011
185,China In Your Hand,T'Pau,1987
186,The Look,Roxette,1989
187,Feel,Robbie Williams,2002
188,Stop,Spice Girls,1997
189,"Girl, You'll Be A Woman Soon",Neil Diamond,1967
190,Ring of Fire,Johnny Cash,1963
191,No Son Of Mine,Genesis,1991
192,Belfast Child,Simple Minds,1989
193,Set Fire to the Rain,Adele,2011
194,Take Your Time Girl,Niels Geusebroek,2006
195,Fallin',Alicia Keys,2001
196,Barbra Streisand,Duck Sauce,2010
